family,n,n_spins,p,instance_seed,q,xi,best_energy_mean,best_energy_std,O_mean,flip_fraction_mean,runtime_s,mean_update_opportunities,spectral_rho_D1_beta_max,lambda_min,lambda_max,spectral_radius_J,n_cities,tsp_feasible_rate,constraint_violation_mean,constraint_violation_std,constraint_violation_min,best_route_distance_mean,n_feasible_trajectories,tsp_A,tsp_B
tsp,10,100,,100,0.5,0.2,-44.1844482421875,0.13498911261558533,0.0294205229729414,0.13236801326274872,5.171024800045416,500000.0,0.7312958205295956,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,6.4,1.131370849898476,4.0,,0,4.0,1.0
tsp,10,100,,100,0.5,0.3,-44.19712829589844,0.14926008880138397,0.023879799991846085,0.1172351986169815,4.877977900090627,500000.0,0.7812958205295975,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,6.24,1.4221111067704943,4.0,,0,4.0,1.0
tsp,10,100,,100,0.5,0.4,-44.26035690307617,0.14366120100021362,0.018824003636837006,0.10317440330982208,4.770455099991523,500000.0,0.831295820529598,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,5.6,1.131370849898476,2.0,,0,4.0,1.0
tsp,10,100,,100,0.5,0.6,-44.27774429321289,0.11353416740894318,0.011167658492922783,0.07738719880580902,4.849273399915546,500000.0,0.9312958205295991,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,5.6,0.9797958971132712,4.0,,0,4.0,1.0
tsp,10,100,,100,0.5,0.8,-44.345401763916016,0.11503912508487701,0.006200154311954975,0.056243203580379486,4.730440399958752,500000.0,1.0312958205295961,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,5.2,1.131370849898476,4.0,,0,4.0,1.0
tsp,10,100,,100,0.5,1.0,-44.406463623046875,0.13515067100524902,0.0032281239982694387,0.03956000134348869,4.86492319998797,500000.0,1.1312958205295962,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,4.56,1.2026637102698325,2.0,,0,4.0,1.0
tsp,10,100,,100,0.5,1.2,-44.39346694946289,0.11401686817407608,0.0016410811804234982,0.027819199487566948,4.973914399975911,500000.0,1.2312958205296047,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,4.64,1.0910545357588683,2.0,,0,4.0,1.0
tsp,10,100,,100,0.75,0.2,-44.25328063964844,0.11547424644231796,0.07233690470457077,0.2056799978017807,5.036729000043124,750000.0,1.2271654207133635,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,5.92,1.0552724766618335,4.0,,0,4.0,1.0
tsp,10,100,,100,0.75,0.3,-44.24714660644531,0.06624004244804382,0.05818091705441475,0.18187041580677032,5.0524652999592945,750000.0,1.1521654207133631,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,6.08,0.6881860213634101,4.0,,0,4.0,1.0
tsp,10,100,,100,0.75,0.4,-44.26594161987305,0.10191677510738373,0.045636896044015884,0.15910080075263977,5.039910700055771,750000.0,1.0771654207133643,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,5.76,0.8616263691415207,4.0,,0,4.0,1.0
tsp,10,100,,100,0.75,0.6,-44.35456848144531,0.13990184664726257,0.026717964559793472,0.11849280446767807,5.047306300024502,750000.0,0.9271654207133637,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,5.12,1.2749901960407382,2.0,,0,4.0,1.0
tsp,10,100,,100,0.75,0.8,-44.37868118286133,0.11839114129543304,0.014553437940776348,0.08536960929632187,5.019823600072414,750000.0,1.0469437307943956,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,4.8,0.9797958971132712,4.0,,0,4.0,1.0
tsp,10,100,,100,0.75,1.0,-44.3823127746582,0.09776555001735687,0.0075353942811489105,0.06048640236258507,4.858149599982426,750000.0,1.1969437307943989,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,4.8,0.9797958971132712,4.0,,0,4.0,1.0
tsp,10,100,,100,0.75,1.2,-44.42207336425781,0.11581028997898102,0.0036801497917622328,0.042105600237846375,5.206319799995981,750000.0,1.3469437307943941,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,4.48,1.0244998779892558,2.0,,0,4.0,1.0
tsp,10,100,,100,1.0,0.2,-44.3682861328125,0.0854102298617363,0.22541183233261108,0.3692399859428406,3.5705749999033287,1000000.0,1.969553894284485,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,5.36,0.9329523031752481,4.0,,0,4.0,1.0
tsp,10,100,,100,1.0,0.3,-44.42048263549805,0.099662184715271,0.13938723504543304,0.2800160050392151,3.401430999976583,1000000.0,1.8695538942844823,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,4.8,0.9797958971132712,4.0,,0,4.0,1.0
tsp,10,100,,100,1.0,0.4,-44.37419509887695,0.08813710510730743,0.09732994437217712,0.22949601709842682,3.5805448999162763,1000000.0,1.7695538942844817,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,5.2,0.9797958971132712,4.0,,0,4.0,1.0
tsp,10,100,,100,1.0,0.6,-44.44587707519531,0.12912705540657043,0.052382491528987885,0.1644911915063858,3.6255438999505714,1000000.0,1.5695538942844849,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,4.32,1.2237646832622684,2.0,,0,4.0,1.0
tsp,10,100,,100,1.0,0.8,-44.37120056152344,0.10526431351900101,0.02777780592441559,0.11685759574174881,3.6143940000329167,1000000.0,1.3695538942844838,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,5.04,0.9991996797437438,4.0,,0,4.0,1.0
tsp,10,100,,100,1.0,1.0,-44.3949089050293,0.1045040488243103,0.014062314294278622,0.08160320669412613,3.8236643000273034,1000000.0,1.262591641059192,-1.084776947142241,0.13129582052959662,1.084776947142241,10,0.0,4.64,1.0910545357588683,2.0,,0,4.0,1.0
