method,reference_method,metric,delta_method_minus_reference,ci_low,ci_high,n_paired_instances,win_rate_vs_reference
adamw_rms,fixed_pimi,best_energy,1.1801684498786926,1.1599452257156373,1.200391674041748,5,0.0
adaptive_q,fixed_pimi,best_energy,5.063157343864441,4.9960200667381285,5.130294620990753,5,0.0
fixed_partial,fixed_pimi,best_energy,8.125866746902465,8.105691611766815,8.147870600223541,5,0.0
joint,fixed_pimi,best_energy,1.1384985089302062,1.1152132749557495,1.1623568534851074,5,0.0
joint_restart,fixed_pimi,best_energy,1.1465864896774292,1.1209477424621581,1.1693783164024354,5,0.0
par0,fixed_pimi,best_energy,-1.2891546368598938,-1.300315248966217,-1.2783804893493653,5,1.0
