method,best_energy,mean_q,mean_O,runtime
adamw_rms,-185.8044498205185,1.0,0.0861898113158531,7.8410518401544325
adaptive_q,-181.92146092653275,0.7518731355667114,0.0958849656512029,14.058946103123072
fixed_partial,-178.85875152349473,0.5,0.040849196890485426,13.357512980936644
fixed_pimi,-186.9846182703972,1.0,0.10422328388085585,6.7282186878929675
joint,-185.84611976146698,1.0,0.08618585637887004,7.816466653824591
joint_restart,-185.83803178071975,1.0,0.08572040160070168,7.716297472879797
par0,-188.27377290725707,1.0,0.3566050113178789,7.154478330615893
