family,n,p,instance_seed,q,xi,best_energy_mean,best_energy_std,O_mean,flip_fraction_mean,runtime_s,mean_update_opportunities,spectral_rho_D1_beta_max,lambda_min,lambda_max,spectral_radius_J
er,128,0.3,10,0.0625,0.0,-78.30267333984375,1.058776617050171,0.00021004004520364106,0.0062291668727993965,1.6618030000245199,24000.0,1.1416356813905129,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.0625,0.1,-78.88050079345703,1.2741913795471191,0.00016455295553896576,0.005545833148062229,1.6046732000540942,24000.0,1.147885681390514,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.0625,0.2,-78.86737060546875,1.3600877523422241,0.0001257733383681625,0.0048166667111217976,1.5837438999442384,24000.0,1.1541356813905068,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.0625,0.3,-78.9067611694336,1.363761067390442,0.00010647037561284378,0.003966666758060455,1.557446900056675,24000.0,1.1603856813905107,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.0625,0.4,-79.10375213623047,1.584307074546814,8.66706104716286e-05,0.0032625000458210707,1.564664899953641,24000.0,1.1666356813905125,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.0625,0.6,-79.05122375488281,1.2579818964004517,3.762560663744807e-05,0.0020375000312924385,1.5347101000370458,24000.0,1.179135681390503,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.0625,0.8,-78.07941436767578,1.607645869255066,2.3282702386495657e-05,0.0015291667077690363,1.5047603000421077,24000.0,1.1916356813905125,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.125,0.0,-79.23507690429688,1.223792314529419,0.0008242451003752649,0.013204166665673256,1.5908060999354348,48000.0,1.283271362781014,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.125,0.1,-80.02303314208984,1.0919748544692993,0.00066188327036798,0.010895833373069763,1.550094300066121,48000.0,1.2957713627810212,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.125,0.2,-80.02302551269531,1.1192736625671387,0.0005110191996209323,0.009445833042263985,1.5639253000263125,48000.0,1.3082713627810278,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.125,0.3,-80.48267364501953,0.9645044207572937,0.0003813410585280508,0.006833333522081375,1.5836733999894932,48000.0,1.320771362781024,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.125,0.4,-80.28567504882812,1.2017529010772705,0.0002860184176824987,0.006141666788607836,1.557699600001797,48000.0,1.333271362781024,-6.222520329683567,1.633085451124101,6.222520329683567
er,128,0.3,10,0.125,0.6,-79.51087188720703,1.4043828248977661,0.0001833382120821625,0.0038999998942017555,1.5864947000518441,48000.0,1.3582713627810248,-6.222520329683567,1.633085451124101,6.222520329683567
