family,q,xi,n_instances,best_energy_mean,best_energy_across_seed_std,energy_gap_to_seed_best_mean,energy_gap_to_seed_best_std,O_mean,O_across_seed_std,flip_fraction_mean,flip_fraction_across_seed_std,runtime_s_mean,mean_update_opportunities,spectral_rho_D1_beta_max,spectral_radius_J
er,0.0625,0.0,5,-78.78569030761719,0.9740726814453662,2.429803466796875,0.32236245045479756,0.00020680421730498002,1.3929923175607924e-05,0.006507500074803781,0.00028919186523600286,1.697674180008471,24000.0,1.1442936197318183,6.289950965614141
er,0.0625,0.1,5,-79.18372192382813,1.03875901191104,2.0317718505859377,0.30631151562826625,0.00016063284710975999,1.0143657116096072e-05,0.005362499970942699,0.00016504414957344883,1.677824280015193,24000.0,1.1505436197318168,6.289950965614141
er,0.0625,0.2,5,-79.41577758789063,0.8298787146649428,1.7997161865234375,0.2571556573426779,0.00012150069815102,1.1182512151482613e-05,0.00460833339020604,0.0002394474513009312,1.6387185799889266,24000.0,1.1567936197318165,6.289950965614141
er,0.0625,0.3,5,-79.60173645019532,0.8313569550526012,1.61375732421875,0.46016215447387426,9.846357133935226e-05,5.827151031423798e-06,0.00372083331458268,0.00015218323652289262,1.7168378599919378,24000.0,1.163043619731818,6.289950965614141
er,0.0625,0.4,5,-79.46943664550781,0.8007642577348526,1.74605712890625,0.7033990470055725,7.525983091909439e-05,8.39632413157901e-06,0.00321666668169196,0.00015161167859778214,1.6850786000024527,24000.0,1.1692936197318204,6.289950965614141
er,0.0625,0.6,5,-79.50919189453126,0.9267009591895963,1.7063018798828125,0.42256228781952887,4.3698113586287946e-05,5.3297247513845645e-06,0.00207583333831278,0.00018753239491827803,1.6690989999799057,24000.0,1.181793619731816,6.289950965614141
er,0.0625,0.8,5,-79.0762710571289,0.9138347714613088,2.1392227172851563,0.5426860501922142,2.4478558407281527e-05,6.029931812766673e-06,0.00147416668478392,4.054748461001837e-05,1.6709473399911077,24000.0,1.1942936197318168,6.289950965614141
er,0.125,0.0,5,-79.59049987792969,0.9741276779047897,1.624993896484375,0.28385402299574036,0.0008378378232009201,4.83514135621564e-05,0.01313083320856088,0.00033637390556223804,1.7049727999605238,48000.0,1.2885872394636284,6.289950965614141
er,0.125,0.1,5,-80.066943359375,0.8817786158798183,1.1485504150390624,0.22146328051350775,0.00065365824848408,3.0427946654596748e-05,0.01087750010192388,0.0003912299001962087,1.6997313200030475,48000.0,1.3010872394636297,6.289950965614141
er,0.125,0.2,5,-80.2784652709961,0.9672280741821615,0.9370285034179687,0.33707659744257146,0.00050870178965846,1.142063122722648e-05,0.009060000069439359,0.0003230253388528707,1.7006661999737844,48000.0,1.3135872394636323,6.289950965614141
er,0.125,0.3,5,-80.39882965087891,1.0210247522159277,0.8166641235351563,0.3450622597138825,0.00039080409333104,3.305957306325604e-05,0.00727249998599286,0.00045018889853681675,1.689587439992465,48000.0,1.3260872394636358,6.289950965614141
er,0.125,0.4,5,-80.36224060058593,0.938222741779491,0.853253173828125,0.27841532514915013,0.00029775854200118,1.1076305491769727e-05,0.00625666668638584,0.00022334665461436787,1.7488152799895034,48000.0,1.3385872394636331,6.289950965614141
er,0.125,0.6,5,-80.42384796142578,0.9380465571535245,0.7916458129882813,0.5093630744039579,0.00017986553430088,8.28541109200824e-06,0.00414916658774014,0.00029757989608670556,1.7225848600268363,48000.0,1.3635872394636344,6.289950965614141
